job_id,job_title,company_type,industry,country,city,remote_type,experience_level,min_experience_years,salary_min_usd,salary_max_usd,employment_type,posted_year,company_size
0IFD0TVBDIVU,MLOps Engineer,Research Lab,Education,Australia,Remote,Remote,Entry,0,56873,72223,Full-time,2023,Large
ZMF8MDD4V30T,Data Analyst,Startup,Education,Germany,Remote,Remote,Entry,0,54803,85599,Full-time,2024,Medium
CX1945NQ4FMY,MLOps Engineer,Research Lab,Tech,Canada,Remote,Remote,Senior,5,149980,175806,Full-time,2021,Large
QJ7YHL1C32OC,Applied Scientist,Research Lab,Healthcare,Australia,Remote,Remote,Entry,0,53483,86477,Full-time,2023,Medium
F0T0PVN9ER14,Machine Learning Engineer,Research Lab,Finance,Australia,Sydney,Hybrid,Mid,2,102977,127298,Full-time,2023,Large
9T84AZYTJXEP,Data Analyst,Startup,Healthcare,USA,Seattle,Hybrid,Senior,5,148201,179967,Full-time,2021,Large
SHNF877VREN9,AI Researcher,Startup,Tech,USA,Austin,Onsite,Senior,5,143946,173591,Full-time,2020,Small
1ERTJ5PHT0HL,MLOps Engineer,Research Lab,Healthcare,Australia,Sydney,Hybrid,Senior,5,147177,171959,Full-time,2023,Small
MVIHCWI64CIY,Machine Learning Engineer,Research Lab,Finance,India,Remote,Remote,Entry,0,61851,83711,Full-time,2024,Medium
DXMO5BXXC02D,Machine Learning Engineer,Startup,Education,India,Chennai,Hybrid,Entry,0,57350,69593,Full-time,2023,Small
P5TB94874FRH,Data Analyst,Startup,Finance,Germany,Munich,Hybrid,Entry,0,56209,65070,Full-time,2023,Medium
89UZFK8UT0CV,Applied Scientist,Research Lab,Finance,UK,Manchester,Hybrid,Senior,5,140931,171640,Full-time,2020,Small
5O7UUBCXULJY,AI Researcher,Startup,Healthcare,USA,New York,Onsite,Senior,5,146484,159288,Full-time,2025,Large
AWUDTSEMCIKP,Applied Scientist,Research Lab,Healthcare,Germany,Hamburg,Hybrid,Entry,0,60021,86429,Full-time,2024,Small
D5J60FKHMY4S,AI Researcher,Startup,Tech,Australia,Melbourne,Onsite,Senior,5,150392,168879,Full-time,2026,Medium
1WJ0TPAC56T4,Applied Scientist,Research Lab,Finance,USA,Remote,Remote,Mid,2,97041,109176,Full-time,2020,Medium
HID25OWF7593,Data Analyst,Startup,Finance,Germany,Remote,Remote,Mid,2,102067,115885,Full-time,2026,Medium
FZNBQH7M35IX,Data Analyst,MNC,Healthcare,Australia,Sydney,Onsite,Mid,2,104161,107274,Full-time,2026,Medium
9T7E8G8JDP0L,Applied Scientist,Research Lab,Tech,Germany,Frankfurt,Onsite,Senior,5,146311,173893,Full-time,2021,Medium
