job_id,job_title,company_type,industry,country,city,remote_type,experience_level,min_experience_years,salary_min_usd,salary_max_usd,employment_type,posted_year,company_size,standardized_title,role_category,skill,skill_category,skill_level
0IFD0TVBDIVU,MLOps Engineer,Research Lab,Education,Australia,Remote,Remote,Entry,0,56873,72223,Full-time,2023,Large,MLOps Engineer,Engineering,Unknown,Unknown,Unknown
ZMF8MDD4V30T,Data Analyst,Startup,Education,Germany,Remote,Remote,Entry,0,54803,85599,Full-time,2024,Medium,Data Analyst,Analytics,NLP,ML,Advanced
ZMF8MDD4V30T,Data Analyst,Startup,Education,Germany,Remote,Remote,Entry,0,54803,85599,Full-time,2024,Medium,Data Analyst,Analytics,Python,Programming,Basic
ZMF8MDD4V30T,Data Analyst,Startup,Education,Germany,Remote,Remote,Entry,0,54803,85599,Full-time,2024,Medium,Data Analyst,Analytics,AWS,Cloud,Advanced
ZMF8MDD4V30T,Data Analyst,Startup,Education,Germany,Remote,Remote,Entry,0,54803,85599,Full-time,2024,Medium,Data Analyst,Analytics,Azure,Cloud,Intermediate
CX1945NQ4FMY,MLOps Engineer,Research Lab,Tech,Canada,Remote,Remote,Senior,5,149980,175806,Full-time,2021,Large,MLOps Engineer,Engineering,Computer Vision,ML,Basic
CX1945NQ4FMY,MLOps Engineer,Research Lab,Tech,Canada,Remote,Remote,Senior,5,149980,175806,Full-time,2021,Large,MLOps Engineer,Engineering,GCP,Cloud,Basic
CX1945NQ4FMY,MLOps Engineer,Research Lab,Tech,Canada,Remote,Remote,Senior,5,149980,175806,Full-time,2021,Large,MLOps Engineer,Engineering,PyTorch,ML,Advanced
CX1945NQ4FMY,MLOps Engineer,Research Lab,Tech,Canada,Remote,Remote,Senior,5,149980,175806,Full-time,2021,Large,MLOps Engineer,Engineering,Python,Programming,Advanced
QJ7YHL1C32OC,Applied Scientist,Research Lab,Healthcare,Australia,Remote,Remote,Entry,0,53483,86477,Full-time,2023,Medium,Applied Scientist,Analytics,Scikit-learn,ML,Basic
QJ7YHL1C32OC,Applied Scientist,Research Lab,Healthcare,Australia,Remote,Remote,Entry,0,53483,86477,Full-time,2023,Medium,Applied Scientist,Analytics,SQL,Programming,Basic
QJ7YHL1C32OC,Applied Scientist,Research Lab,Healthcare,Australia,Remote,Remote,Entry,0,53483,86477,Full-time,2023,Medium,Applied Scientist,Analytics,Azure,Cloud,Basic
QJ7YHL1C32OC,Applied Scientist,Research Lab,Healthcare,Australia,Remote,Remote,Entry,0,53483,86477,Full-time,2023,Medium,Applied Scientist,Analytics,NLP,ML,Advanced
QJ7YHL1C32OC,Applied Scientist,Research Lab,Healthcare,Australia,Remote,Remote,Entry,0,53483,86477,Full-time,2023,Medium,Applied Scientist,Analytics,R,Programming,Advanced
F0T0PVN9ER14,Machine Learning Engineer,Research Lab,Finance,Australia,Sydney,Hybrid,Mid,2,102977,127298,Full-time,2023,Large,Machine Learning Engineer,Engineering,Unknown,Unknown,Unknown
9T84AZYTJXEP,Data Analyst,Startup,Healthcare,USA,Seattle,Hybrid,Senior,5,148201,179967,Full-time,2021,Large,Data Analyst,Analytics,R,Programming,Intermediate
9T84AZYTJXEP,Data Analyst,Startup,Healthcare,USA,Seattle,Hybrid,Senior,5,148201,179967,Full-time,2021,Large,Data Analyst,Analytics,Scikit-learn,ML,Intermediate
9T84AZYTJXEP,Data Analyst,Startup,Healthcare,USA,Seattle,Hybrid,Senior,5,148201,179967,Full-time,2021,Large,Data Analyst,Analytics,NLP,ML,Basic
SHNF877VREN9,AI Researcher,Startup,Tech,USA,Austin,Onsite,Senior,5,143946,173591,Full-time,2020,Small,AI Researcher,Analytics,Unknown,Unknown,Unknown
1ERTJ5PHT0HL,MLOps Engineer,Research Lab,Healthcare,Australia,Sydney,Hybrid,Senior,5,147177,171959,Full-time,2023,Small,MLOps Engineer,Engineering,Unknown,Unknown,Unknown
MVIHCWI64CIY,Machine Learning Engineer,Research Lab,Finance,India,Remote,Remote,Entry,0,61851,83711,Full-time,2024,Medium,Machine Learning Engineer,Engineering,Unknown,Unknown,Unknown
DXMO5BXXC02D,Machine Learning Engineer,Startup,Education,India,Chennai,Hybrid,Entry,0,57350,69593,Full-time,2023,Small,Machine Learning Engineer,Engineering,Unknown,Unknown,Unknown
P5TB94874FRH,Data Analyst,Startup,Finance,Germany,Munich,Hybrid,Entry,0,56209,65070,Full-time,2023,Medium,Data Analyst,Analytics,Unknown,Unknown,Unknown
89UZFK8UT0CV,Applied Scientist,Research Lab,Finance,UK,Manchester,Hybrid,Senior,5,140931,171640,Full-time,2020,Small,Applied Scientist,Analytics,Unknown,Unknown,Unknown
5O7UUBCXULJY,AI Researcher,Startup,Healthcare,USA,New York,Onsite,Senior,5,146484,159288,Full-time,2025,Large,AI Researcher,Analytics,Unknown,Unknown,Unknown
AWUDTSEMCIKP,Applied Scientist,Research Lab,Healthcare,Germany,Hamburg,Hybrid,Entry,0,60021,86429,Full-time,2024,Small,Applied Scientist,Analytics,Unknown,Unknown,Unknown
D5J60FKHMY4S,AI Researcher,Startup,Tech,Australia,Melbourne,Onsite,Senior,5,150392,168879,Full-time,2026,Medium,AI Researcher,Analytics,Unknown,Unknown,Unknown
1WJ0TPAC56T4,Applied Scientist,Research Lab,Finance,USA,Remote,Remote,Mid,2,97041,109176,Full-time,2020,Medium,Applied Scientist,Analytics,Unknown,Unknown,Unknown
HID25OWF7593,Data Analyst,Startup,Finance,Germany,Remote,Remote,Mid,2,102067,115885,Full-time,2026,Medium,Data Analyst,Analytics,Unknown,Unknown,Unknown
FZNBQH7M35IX,Data Analyst,MNC,Healthcare,Australia,Sydney,Onsite,Mid,2,104161,107274,Full-time,2026,Medium,Data Analyst,Analytics,Unknown,Unknown,Unknown
9T7E8G8JDP0L,Applied Scientist,Research Lab,Tech,Germany,Frankfurt,Onsite,Senior,5,146311,173893,Full-time,2021,Medium,Applied Scientist,Analytics,Unknown,Unknown,Unknown
S3Y70HP87WXE,AI Researcher,Research Lab,Healthcare,USA,Seattle,Onsite,Entry,0,60926,78382,Full-time,2022,Medium,AI Researcher,Analytics,Unknown,Unknown,Unknown
GXN0GUO4KH2V,AI Researcher,MNC,Retail,Australia,Brisbane,Hybrid,Entry,0,57244,87138,Full-time,2021,Large,AI Researcher,Analytics,Unknown,Unknown,Unknown
DSWM31YIHAIR,Data Scientist,MNC,Retail,UK,London,Onsite,Senior,5,154518,175636,Full-time,2024,Small,Data Scientist,Analytics,Unknown,Unknown,Unknown
OFY6452H2ZQU,Data Scientist,MNC,Finance,Australia,Melbourne,Onsite,Mid,2,103130,120225,Full-time,2025,Large,Data Scientist,Analytics,Computer Vision,ML,Advanced
OFY6452H2ZQU,Data Scientist,MNC,Finance,Australia,Melbourne,Onsite,Mid,2,103130,120225,Full-time,2025,Large,Data Scientist,Analytics,AWS,Cloud,Intermediate
OFY6452H2ZQU,Data Scientist,MNC,Finance,Australia,Melbourne,Onsite,Mid,2,103130,120225,Full-time,2025,Large,Data Scientist,Analytics,Python,Programming,Advanced
