job_id,skill,skill_category,skill_level
E0IFD0TVBDIV,R,Programming,Advanced
E0IFD0TVBDIV,Computer Vision,ML,Basic
E0IFD0TVBDIV,NLP,ML,Intermediate
E0IFD0TVBDIV,SQL,Programming,Intermediate
ZMF8MDD4V30T,NLP,ML,Advanced
ZMF8MDD4V30T,Python,Programming,Basic
ZMF8MDD4V30T,AWS,Cloud,Advanced
ZMF8MDD4V30T,Azure,Cloud,Intermediate
CX1945NQ4FMY,Computer Vision,ML,Basic
CX1945NQ4FMY,GCP,Cloud,Basic
CX1945NQ4FMY,PyTorch,ML,Advanced
CX1945NQ4FMY,Python,Programming,Advanced
QJ7YHL1C32OC,Scikit-learn,ML,Basic
QJ7YHL1C32OC,SQL,Programming,Basic
QJ7YHL1C32OC,Azure,Cloud,Basic
QJ7YHL1C32OC,NLP,ML,Advanced
QJ7YHL1C32OC,R,Programming,Advanced
JIUJV6OH9SDB,Python,Programming,Intermediate
JIUJV6OH9SDB,Scikit-learn,ML,Basic
JIUJV6OH9SDB,AWS,Cloud,Intermediate
JIUJV6OH9SDB,TensorFlow,ML,Advanced
JIUJV6OH9SDB,Azure,Cloud,Basic
9T84AZYTJXEP,R,Programming,Intermediate
9T84AZYTJXEP,Scikit-learn,ML,Intermediate
9T84AZYTJXEP,NLP,ML,Basic
4SHNF877VREN,AWS,Cloud,Intermediate
4SHNF877VREN,Azure,Cloud,Basic
4SHNF877VREN,PyTorch,ML,Intermediate
4SHNF877VREN,Computer Vision,ML,Advanced
4SHNF877VREN,NLP,ML,Advanced
4SHNF877VREN,SQL,Programming,Advanced
9TEX8FSV871Y,Computer Vision,ML,Basic
9TEX8FSV871Y,GCP,Cloud,Intermediate
9TEX8FSV871Y,NLP,ML,Basic
ICATVAZCCBLS,NLP,ML,Basic
ICATVAZCCBLS,TensorFlow,ML,Basic
ICATVAZCCBLS,Azure,Cloud,Advanced
ICATVAZCCBLS,Python,Programming,Intermediate
ICATVAZCCBLS,PyTorch,ML,Advanced
ICATVAZCCBLS,Scikit-learn,ML,Basic
IRODXMO5BXXC,Scikit-learn,ML,Intermediate
IRODXMO5BXXC,AWS,Cloud,Advanced
IRODXMO5BXXC,Azure,Cloud,Advanced
IRODXMO5BXXC,NLP,ML,Intermediate
IRODXMO5BXXC,SQL,Programming,Advanced
GQ5C34DXTAD1,TensorFlow,ML,Basic
GQ5C34DXTAD1,GCP,Cloud,Advanced
GQ5C34DXTAD1,Scikit-learn,ML,Intermediate
GQ5C34DXTAD1,Azure,Cloud,Advanced
AO72KZ02XRGH,SQL,Programming,Intermediate
AO72KZ02XRGH,Python,Programming,Advanced
AO72KZ02XRGH,Computer Vision,ML,Advanced
AO72KZ02XRGH,NLP,ML,Basic
AO72KZ02XRGH,AWS,Cloud,Advanced
AO72KZ02XRGH,R,Programming,Basic
S4F8CGVYIE6I,Scikit-learn,ML,Intermediate
S4F8CGVYIE6I,Python,Programming,Basic
S4F8CGVYIE6I,AWS,Cloud,Intermediate
S4F8CGVYIE6I,R,Programming,Basic
S4F8CGVYIE6I,GCP,Cloud,Advanced
S4F8CGVYIE6I,PyTorch,ML,Intermediate
7HZIOYKL1CQ9,AWS,Cloud,Advanced
7HZIOYKL1CQ9,TensorFlow,ML,Advanced
7HZIOYKL1CQ9,Azure,Cloud,Basic
7HZIOYKL1CQ9,R,Programming,Intermediate
7HZIOYKL1CQ9,Computer Vision,ML,Advanced
7HZIOYKL1CQ9,Python,Programming,Intermediate
NF4ZW9XA3KX7,SQL,Programming,Advanced
NF4ZW9XA3KX7,NLP,ML,Intermediate
NF4ZW9XA3KX7,GCP,Cloud,Intermediate
NF4ZW9XA3KX7,TensorFlow,ML,Advanced
NF4ZW9XA3KX7,Scikit-learn,ML,Intermediate
HMY4SJ6BW3BM,SQL,Programming,Intermediate
HMY4SJ6BW3BM,GCP,Cloud,Intermediate
HMY4SJ6BW3BM,R,Programming,Intermediate
HMY4SJ6BW3BM,PyTorch,ML,Basic
AC56T4UFEL62,PyTorch,ML,Basic
AC56T4UFEL62,GCP,Cloud,Basic
AC56T4UFEL62,NLP,ML,Advanced
AC56T4UFEL62,TensorFlow,ML,Advanced
907IF2GOG72O,GCP,Cloud,Intermediate
907IF2GOG72O,AWS,Cloud,Basic
907IF2GOG72O,Python,Programming,Intermediate
907IF2GOG72O,TensorFlow,ML,Advanced
907IF2GOG72O,SQL,Programming,Intermediate
4I3QK2IAGL58,GCP,Cloud,Basic
4I3QK2IAGL58,R,Programming,Intermediate
4I3QK2IAGL58,TensorFlow,ML,Basic
4I3QK2IAGL58,Python,Programming,Intermediate
4I3QK2IAGL58,Scikit-learn,ML,Advanced
5JU9BVM2P9E6,NLP,ML,Advanced
5JU9BVM2P9E6,Computer Vision,ML,Basic
5JU9BVM2P9E6,GCP,Cloud,Advanced
5JU9BVM2P9E6,PyTorch,ML,Basic
5JU9BVM2P9E6,R,Programming,Intermediate
5JU9BVM2P9E6,AWS,Cloud,Advanced
Z0YNCXLL4ZKL,R,Programming,Intermediate
Z0YNCXLL4ZKL,Azure,Cloud,Basic
Z0YNCXLL4ZKL,SQL,Programming,Advanced
7Y6WKTAKPUXQ,GCP,Cloud,Basic
7Y6WKTAKPUXQ,Computer Vision,ML,Intermediate
7Y6WKTAKPUXQ,AWS,Cloud,Advanced
KXWD8IL3FB9W,Python,Programming,Intermediate
KXWD8IL3FB9W,SQL,Programming,Intermediate
KXWD8IL3FB9W,R,Programming,Intermediate
KXWD8IL3FB9W,Computer Vision,ML,Advanced
KXWD8IL3FB9W,Azure,Cloud,Advanced
KXWD8IL3FB9W,PyTorch,ML,Advanced
OFY6452H2ZQU,Computer Vision,ML,Advanced
OFY6452H2ZQU,AWS,Cloud,Intermediate
OFY6452H2ZQU,Python,Programming,Advanced
OFY6452H2ZQU,GCP,Cloud,Basic
WZS3T60RJIW1,PyTorch,ML,Advanced
WZS3T60RJIW1,Azure,Cloud,Advanced
WZS3T60RJIW1,SQL,Programming,Intermediate
WZS3T60RJIW1,NLP,ML,Intermediate
WZS3T60RJIW1,R,Programming,Intermediate
WZS3T60RJIW1,AWS,Cloud,Advanced
M6CFNFHOLQC3,AWS,Cloud,Advanced
M6CFNFHOLQC3,TensorFlow,ML,Advanced
M6CFNFHOLQC3,Azure,Cloud,Advanced
M6CFNFHOLQC3,R,Programming,Basic
M6CFNFHOLQC3,GCP,Cloud,Intermediate
M6CFNFHOLQC3,Python,Programming,Intermediate
48P0TVHHPBMY,R,Programming,Advanced
48P0TVHHPBMY,GCP,Cloud,Basic
48P0TVHHPBMY,TensorFlow,ML,Basic
UAXEQBNHL1N1,Computer Vision,ML,Basic
UAXEQBNHL1N1,Azure,Cloud,Advanced
UAXEQBNHL1N1,AWS,Cloud,Basic
X2X18HAFEYUH,NLP,ML,Advanced
X2X18HAFEYUH,Scikit-learn,ML,Advanced
X2X18HAFEYUH,Computer Vision,ML,Basic
X2X18HAFEYUH,TensorFlow,ML,Advanced
X2X18HAFEYUH,Python,Programming,Intermediate
8DALY8OZCYWD,GCP,Cloud,Advanced
8DALY8OZCYWD,NLP,ML,Basic
8DALY8OZCYWD,Computer Vision,ML,Intermediate
8DALY8OZCYWD,PyTorch,ML,Basic
XCXAPRPN6QFG,Python,Programming,Advanced
XCXAPRPN6QFG,AWS,Cloud,Intermediate
XCXAPRPN6QFG,GCP,Cloud,Basic
VLI7KQ1UYMRL,Computer Vision,ML,Basic
VLI7KQ1UYMRL,TensorFlow,ML,Basic
VLI7KQ1UYMRL,NLP,ML,Intermediate
VLI7KQ1UYMRL,AWS,Cloud,Advanced
VLI7KQ1UYMRL,GCP,Cloud,Basic
A8DZR1YXR2DH,NLP,ML,Intermediate
A8DZR1YXR2DH,Azure,Cloud,Intermediate
A8DZR1YXR2DH,SQL,Programming,Basic
A8DZR1YXR2DH,GCP,Cloud,Advanced
A8DZR1YXR2DH,TensorFlow,ML,Advanced
P0LZJJEGET1G,NLP,ML,Advanced
P0LZJJEGET1G,AWS,Cloud,Basic
P0LZJJEGET1G,TensorFlow,ML,Basic
P0LZJJEGET1G,Scikit-learn,ML,Intermediate
P0LZJJEGET1G,Computer Vision,ML,Basic
93KMKZEBBK7W,Python,Programming,Advanced
93KMKZEBBK7W,AWS,Cloud,Intermediate
93KMKZEBBK7W,Scikit-learn,ML,Basic
93KMKZEBBK7W,Azure,Cloud,Basic
93KMKZEBBK7W,R,Programming,Advanced
8J5ECRUYF38D,AWS,Cloud,Intermediate
8J5ECRUYF38D,GCP,Cloud,Basic
8J5ECRUYF38D,NLP,ML,Advanced
QP49KWV08HHX,SQL,Programming,Basic
QP49KWV08HHX,NLP,ML,Basic
QP49KWV08HHX,Azure,Cloud,Advanced
QP49KWV08HHX,Computer Vision,ML,Intermediate
QP49KWV08HHX,R,Programming,Intermediate
QP49KWV08HHX,PyTorch,ML,Basic
VKIZZQY72WX7,GCP,Cloud,Advanced
VKIZZQY72WX7,Computer Vision,ML,Intermediate
VKIZZQY72WX7,Scikit-learn,ML,Basic
VKIZZQY72WX7,AWS,Cloud,Basic
C2V37PQKOJTP,Computer Vision,ML,Basic
C2V37PQKOJTP,Scikit-learn,ML,Basic
C2V37PQKOJTP,Azure,Cloud,Basic
C2V37PQKOJTP,AWS,Cloud,Basic
C2V37PQKOJTP,PyTorch,ML,Basic
C2V37PQKOJTP,GCP,Cloud,Advanced
84U89YJB1QX6,Azure,Cloud,Advanced
84U89YJB1QX6,SQL,Programming,Basic
84U89YJB1QX6,Computer Vision,ML,Intermediate
84U89YJB1QX6,TensorFlow,ML,Intermediate
84U89YJB1QX6,GCP,Cloud,Intermediate
84U89YJB1QX6,PyTorch,ML,Basic
LDFORXO1BDJE,Azure,Cloud,Basic
LDFORXO1BDJE,SQL,Programming,Basic
LDFORXO1BDJE,TensorFlow,ML,Advanced
N1W1HT7PZE9V,Python,Programming,Intermediate
N1W1HT7PZE9V,Computer Vision,ML,Advanced
N1W1HT7PZE9V,AWS,Cloud,Intermediate
